ticker,rows,first_date,last_date,days_stale,ok
EURUSD=X,130,2025-12-26,2026-06-25,1,True
GBPUSD=X,130,2025-12-26,2026-06-25,1,True
AUDUSD=X,130,2025-12-26,2026-06-25,1,True
NZDUSD=X,130,2025-12-26,2026-06-25,1,True
USDJPY=X,130,2025-12-26,2026-06-25,1,True
USDCHF=X,130,2025-12-26,2026-06-25,1,True
USDCAD=X,130,2025-12-26,2026-06-25,1,True
USDNOK=X,130,2025-12-26,2026-06-25,1,True
USDSEK=X,130,2025-12-26,2026-06-25,1,True
USDMXN=X,130,2025-12-26,2026-06-25,1,True
USDZAR=X,130,2025-12-26,2026-06-25,1,True
USDTRY=X,130,2025-12-26,2026-06-25,1,True
